P01579_Q66793;1_2_3_4_6;0_6_6_9;12643;9606
P03204_Q9Y676;0_1_3_7_7;0_6_6_9;10377;9606
P03180_Q13651;0_1_3_7_7;0_6_6_9;10377;9606
Q14116_Q9IW12;1_2_3_4_6;0_6_6_9;12643;9606
P11207_Q16531;0_1_1_2_8;0_6_6_9;11208;9606
Q13177_Q5PP90;0_1_3_4_5;0_6_6_9;10345;9606
Q13153_Q5PP90;0_1_3_4_5;0_6_6_9;10345;9606
P03231_P06756;0_1_3_7_7;0_6_6_9;10377;9606
P02786_Q8AZ57;1_1_2_6_8;0_6_6_9;11628;9606
O41941_Q9NXG0;0_3_3_7_8;0_6_6_9;33708;9606
P88995_Q9H4A3;0_3_3_7_8;0_6_6_9;33708;9606
P88996_Q8IWZ3;0_3_3_7_8;0_6_6_9;33708;9606
P88996_Q14203;0_3_3_7_8;0_6_6_9;33708;9606
O43159_P88996;0_3_3_7_8;0_6_6_9;33708;9606
P09874_P88996;0_3_3_7_8;0_6_6_9;33708;9606
P88996_Q8IYH5;0_3_3_7_8;0_6_6_9;33708;9606
P88997_Q9GZU2;0_3_3_7_8;0_6_6_9;33708;9606
O41962_P21333;0_3_3_7_8;0_6_6_9;33708;9606
O41963_P02647;0_3_3_7_8;0_6_6_9;33708;9606
O41964_Q14203;0_3_3_7_8;0_6_6_9;33708;9606
O41964_Q14152;0_3_3_7_8;0_6_6_9;33708;9606
O41964_Q9NPI7;0_3_3_7_8;0_6_6_9;33708;9606
O41964_Q86UP2;0_3_3_7_8;0_6_6_9;33708;9606
O41964_Q5VVJ2;0_3_3_7_8;0_6_6_9;33708;9606
O41964_P46777;0_3_3_7_8;0_6_6_9;33708;9606
O41964_Q9H4A3;0_3_3_7_8;0_6_6_9;33708;9606
O41969_Q9UKL3;0_3_3_7_8;0_6_6_9;33708;9606
O41969_O75925;0_3_3_7_8;0_6_6_9;33708;9606
O41969_Q9Y4B4;0_3_3_7_8;0_6_6_9;33708;9606
O41969_Q15025;0_3_3_7_8;0_6_6_9;33708;9606
O41969_P29144;0_3_3_7_8;0_6_6_9;33708;9606
O41970_Q96SN8;0_3_3_7_8;0_6_6_9;33708;9606
O41970_Q9NXG0;0_3_3_7_8;0_6_6_9;33708;9606
O41970_Q03001;0_3_3_7_8;0_6_6_9;33708;9606
O41970_Q14789;0_3_3_7_8;0_6_6_9;33708;9606
O00410_O41970;0_3_3_7_8;0_6_6_9;33708;9606
O41970_Q69YQ0;0_3_3_7_8;0_6_6_9;33708;9606
P36956_P88995;0_3_3_7_8;0_6_6_9;33708;9606
P02768_P89884;0_3_3_7_8;0_6_6_9;33708;9606
P89884_Q14457;0_3_3_7_8;0_6_6_9;33708;9606
P89884_Q9HCM1;0_3_3_7_8;0_6_6_9;33708;9606
P89884_Q92905;0_3_3_7_8;0_6_6_9;33708;9606
P89884_Q03001;0_3_3_7_8;0_6_6_9;33708;9606
P02792_P89884;0_3_3_7_8;0_6_6_9;33708;9606
P89884_Q13576;0_3_3_7_8;0_6_6_9;33708;9606
P29375_P89884;0_3_3_7_8;0_6_6_9;33708;9606
P89884_Q8NFH5;0_3_3_7_8;0_6_6_9;33708;9606
P00439_P89884;0_3_3_7_8;0_6_6_9;33708;9606
P89884_Q13813;0_3_3_7_8;0_6_6_9;33708;9606
O41925_Q7Z429;0_3_3_7_8;0_6_6_9;33708;9606
O41966_P12814;0_3_3_7_8;0_6_6_9;33708;9606
O41966_Q08379;0_3_3_7_8;0_6_6_9;33708;9606
O41966_P14625;0_3_3_7_8;0_6_6_9;33708;9606
O41931_P02675;0_3_3_7_8;0_6_6_9;33708;9606
O41931_P02751;0_3_3_7_8;0_6_6_9;33708;9606
